"","Identifier","Species","Reference effect size","Reference dominance system","Reference relatedness"
"1",1,"Cervus_elaphus","(Clutton-Brock, Albon, and Guinness, 1984)","(HALL, 2010)","(NUSSEY, COLTMAN, COULSON, et al., 2005)"
"2",2,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"3",3,"Macaca_arctoides","(Nieuwenhuijsen, Lammers, de
Neef, et al., 1985)","(HOLEKAMP and SMALE, 1991)",NA
"4",4,"Macaca_fuscata","(Gouzoules, Gouzoules, and Fedigan, 1982)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"5",5,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"6",6,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"7",7,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"8",8,"Macaca_mulatta","(Drickamer, 1974)","(Deutsch and Lee, 1991)",NA
"9",9,"Mandrillus_sphinx","(Setchell, Charpentier, and Wickings, 2005)","(Setchell et al. 2002)",NA
"10",10,"Papio_cynocephalus","(, 2021)","(Packer, Collins, Sindimwo, and Goodall, 1995)",NA
"11",11,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"12",12,"Rangifer_tarandus","(Holand, Weladji, Gj�stein, et al., 2004)","(Holand, Gjøstein, Losvar, Kumpula, Smith, Røed, Nieminen, and Weladji, 2004)","(Djaković, Holand, Hovland, et al., 2011)"
"13",13,"Callithrix_jacchus","(Sousa, da
Rocha Albuquerque, da
Silva Albuquerque, et al., 2005)","(Digby, 1995)","(nievergelt2000genetic)"
"14",14,"Chlorocebus_aethiops","(Fairbanks and McGuire, 1984)","(HOLEKAMP and SMALE, 1991)","(Fairbanks, Jorgensen, Bailey, et al., 2011)"
"15",15,"Chlorocebus_aethiops","(Fairbanks and McGuire, 1984)","(HOLEKAMP and SMALE, 1991)","(Fairbanks, Jorgensen, Bailey, et al., 2011)"
"16",16,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"17",17,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"18",18,"Lemur_catta","(Takahata, Koyama, Ichino, Miyamoto, Nakamichi, and Soma, 2007)","(Taylor and Sussman, 1985)","(Parga, Sauther, Cuozzo, Youssouf Jacky, Gould, Sussman, Lawler, and Pastorini, 2015)"
"19",19,"Macaca_fuscata","(Gouzoules, Gouzoules, and Fedigan, 1982)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"20",20,"Macaca_fuscata","(Gouzoules, Gouzoules, and Fedigan, 1982)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"21",21,"Macaca_fuscata","(Wolfe, 1984)","(Koyama et al. 2003)","(Koyama et al. 2003)"
"22",22,"Macaca_sylvanus","(Kümmerli and Martin, 2005)","(Paul and Kuester, 1987)","(Kümmerli and Martin, 2008)"
"23",23,"Macaca_sylvanus","(Kümmerli and Martin, 2005)","(Paul and Kuester, 1987)","(Kümmerli and Martin, 2008)"
"24",24,"Mesocricetus_auratus","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)"
"25",25,"Mesocricetus_auratus","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)"
"26",26,"Mesocricetus_auratus","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)"
"27",27,"Oreamnos_americanus","(é and Festa-Bianchet, 2001)","(é, 2000)","(Shafer, Northrup, White, et al., 2012)"
"28",28,"Oryctolagus_cuniculus","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)","(von
Holst, Hutzelmeyer, Kaetzke, Khaschei, Rödel, and Schrutka, 2002)","(SURRIDGE, IBRAHIM, BELL, et al., 1999)"
"29",29,"Oryctolagus_cuniculus","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)","(SURRIDGE, IBRAHIM, BELL, et al., 1999)"
"30",30,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"31",31,"Semnopithecus_entellus","(Borries, Sommer, and Srivastava, 1991)","(Borries, Sommer, and Srivastava, 1991)",NA
"32",32,"Rangifer_tarandus","(Holand, Weladji, Gj�stein, et al., 2004)","(Holand, Gjøstein, Losvar, et al., 2004)","(Djaković, Holand, Hovland, et al., 2011)"
"33",33,"Sciurus_vulgaris","(Wauters and Dhondt, 1989)","(Wauters and Dhondt, 1989)",NA
"34",34,"Sciurus_vulgaris","(Wauters and Dhondt, 1989)","(Wauters and Dhondt, 1989)",NA
"35",35,"Theropithecus_gelada","(DUNBAR and DUNBAR, 1977)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"36",36,"Papio_ursinus","(Cheney et al. 2006)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"37",37,"Papio_ursinus","(Bulger and Hamilton, 1987)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"38",38,"Papio_ursinus","(Bulger and Hamilton, 1987)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"39",39,"Cervus_elaphus","(Clutton-Brock, Albon, and Guinness, 1984)","(HALL, 2010)","(NUSSEY, COLTMAN, COULSON, et al., 2005)"
"40",40,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"41",41,"Gorilla_beringei","(Robbins, Robbins, Gerald-Steklis, et al., 2007)","(Robbins, Gerald-Steklis, Robbins, and Steklis, 2005)","(Watts, 1994)"
"42",42,"Lemur_catta","(Takahata, Koyama, Ichino, et al., 2007)","(Taylor and Sussman, 1985)","(Parga, Sauther, Cuozzo, et al., 2015)"
"43",43,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"44",44,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"45",45,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"46",46,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"47",47,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"48",48,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"49",49,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"50",50,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"51",51,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"52",52,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"53",53,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"54",54,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"55",55,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"56",56,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"57",57,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"58",58,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"59",59,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"60",60,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"61",61,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"62",62,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"63",63,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"64",64,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"65",65,"Macaca_mulatta","(Meikle and Vessey, 1988)","(Deutsch and Lee, 1991)",NA
"66",66,"Oreamnos_americanus","(é and Festa-Bianchet, 2001)","(é, 2000)","(Shafer, Northrup, White, et al., 2012)"
"67",67,"Oreamnos_americanus","(é and Festa-Bianchet, 2001)","(é, 2000)","(Shafer, Northrup, White, et al., 2012)"
"68",68,"Oryctolagus_cuniculus","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)","(SURRIDGE, IBRAHIM, BELL, et al., 1999)"
"69",69,"Pan_troglodytes","(Pusey, 1997)","(Wittig et al. 2003)","(Vigilant, Hofreiter, Siedel, et al., 2001)"
"70",70,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"71",71,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","@kopp2015gene"
"72",72,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"73",73,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","@kopp2015gene"
"74",74,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"75",75,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"76",76,"Papio_cynocephalus","(Silk, 2003)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"77",77,"Papio_cynocephalus","(Silk, 2003)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"78",78,"Semnopithecus_entellus","(Borries, Sommer, and Srivastava, 1991)","(Borries, Sommer, and Srivastava, 1991)",NA
"79",79,"Semnopithecus_entellus","(Borries, Sommer, and Srivastava, 1991)","(Borries, Sommer, and Srivastava, 1991)",NA
"80",80,"Crocuta_crocuta","(Hofer and East, 2003)","(Hofer and East, 2003)",NA
"81",81,"Papio_ursinus","Cheney et al. 2006)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"82",82,"Papio_ursinus","(Cheney et al. 2006)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"83",83,"Papio_ursinus","(Bulger and Hamilton, 1987)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"84",84,"Papio_ursinus","(Bulger and Hamilton, 1987)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"85",85,"Macaca_fuscata","(Gouzoules, Gouzoules, and Fedigan, 1982)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"86",86,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"87",87,"Mandrillus_sphinx","(Setchell et al. 2002)","(Setchell et al. 2002)",NA
"88",88,"Papio_anubis","(Cheney et al. 2006)","(Johnson, 1987)",NA
"89",89,"Papio_ursinus",NA,"(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"90",90,"Papio_ursinus","(Cheney et al. 2006)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"91",91,"Chlorocebus_aethiops","(Fairbanks and McGuire, 1984)","(HOLEKAMP and SMALE, 1991)","(Fairbanks, Jorgensen, Bailey, et al., 2011)"
"92",92,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"93",93,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"94",94,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"95",95,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"96",96,"Crocuta_crocuta","(Holekamp, Smale, and Szykman, 1996)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"97",97,"Gorilla_beringei","(Robbins, Robbins, Gerald-Steklis, et al., 2007)","(Robbins, Gerald-Steklis, Robbins, et al., 2005)","(Watts, 1994)"
"98",98,"Macaca_arctoides","(Nieuwenhuijsen, Lammers, de
Neef, et al., 1985)","(HOLEKAMP and SMALE, 1991)",NA
"99",99,"Mandrillus_sphinx","(Setchell et al. 2002)","(Setchell et al. 2002)",NA
"100",100,"Mandrillus_sphinx","(Setchell et al. 2002)","(Setchell et al. 2002)",NA
"101",101,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)",NA
"102",102,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"103",103,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)",NA
"104",104,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"105",105,"Papio_anubis","(Garcia, Lee, and Rosetta, 2006)","(Johnson, 1987)",NA
"106",106,"Papio_anubis","(Garcia, Lee, and Rosetta, 2006)","(Johnson, 1987)",NA
"107",107,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"108",108,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, and Rhine, 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"109",109,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"110",110,"Papio_anubis","(Barton and Whiten, 1993)","(Johnson, 1987)","(lynch2016paternal)"
"111",111,"Papio_ursinus","(Bulger and Hamilton, 1987)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"112",112,"Papio_ursinus","(Bulger and Hamilton, 1987)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"113",113,"Gorilla_beringei","(Robbins, Robbins, Gerald-Steklis, et al., 2007)","(Robbins, Gerald-Steklis, Robbins, et al., 2005)","(Watts, 1994)"
"114",114,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"115",115,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"116",116,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"117",117,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"118",118,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"119",119,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"120",120,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"121",121,"Macaca_fascicularis","(van
Noordwijk and van
Schaik, 1999)","(van
Noordwijk and van
Schaik, 1987)","(Ruiter and Geffen, 1998)"
"122",122,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"123",123,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"124",124,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"125",125,"Macaca_fuscata","(Takahata, Suzuki, Agetsuma, et al., 1998)","(Koyama et al. 2003)","(Nakagawa, Matsubara, Shimooka, et al., 2015)"
"126",126,"Mandrillus_sphinx","(Setchell, Charpentier, and Wickings, 2005)","(Setchell et al. 2002)",NA
"127",127,"Ovis_canadensis","(Festa-Bianchet, 1991)","(Festa-Bianchet, 1991)","(Fournier and Festa-Bianchet, 1995)"
"128",128,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"129",129,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"130",130,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"131",131,"Crocuta_crocuta","(Hofer and East, 2003)","(Hofer and East, 2003)",NA
"132",132,"Macaca_fuscata","(Takahata, 1980)","(Koyama et al. 2003)","@koyama2003matrilineal"
"133",133,"Oryctolagus_cuniculus","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)","(SURRIDGE, IBRAHIM, BELL, et al., 1999)"
"134",134,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"135",135,"Papio_anubis","(Packer, Collins, Sindimwo, et al., 1995)","(Johnson, 1987)","(Kopp 2015)"
"136",136,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"137",137,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"138",138,"Papio_cynocephalus","(Wasser, Norton, Kleindorfer, et al., 2004)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"139",139,"Crocuta_crocuta","(Hofer and East, 2003)","(Hofer and East, 2003)",NA
"140",140,"Papio_ursinus","(Cheney et al. 2006)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"141",141,"Papio_ursinus","(Cheney et al. 2006)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"142",142,"Cervus_elaphus","(Clutton-Brock, Albon, and Guinness, 1984)","(HALL, 2010)","(NUSSEY, COLTMAN, COULSON, et al., 2005)"
"143",143,"Cervus_elaphus","(Clutton-Brock, Albon, and Guinness, 1984)","(HALL, 2010)","(NUSSEY, COLTMAN, COULSON, et al., 2005)"
"144",144,"Macaca_mulatta","(Wilson, Gordon, and Bernstein, 1978)","(Deutsch and Lee, 1991)","(Bernstein and Ehardt, 1986)"
"145",145,"Macaca_mulatta","(Wilson, Gordon, and Bernstein, 1978)","(Deutsch and Lee, 1991)","(Bernstein and Ehardt, 1986)"
"146",146,"Macaca_sinica","(Dittus, 1979)","(Dittus, 1986)",NA
"147",147,"Macaca_sinica","(Dittus, 1979)","(Dittus, 1986)",NA
"148",148,"Lycaon_pictus","(Creel, Creel, Mills, et al., 1997)","(Spiering, Somers, Maldonado, Wildt, and Gunther, 2009)","(Girman, Mills, Geffen, et al., 1997)"
"149",149,"Fukomys_damarensis","(BURLAND, BENNETT, JARVIS, et al., 2004)","(Gaylard, Harrison, and Bennett, 1998)","(Burland, Bennett, Jarvis, et al., 2002)"
"150",150,"Macaca_fuscata","(Fedigan, Fedigan, Gouzoules, et al., 1986)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"151",151,"Macaca_fuscata","(Fedigan, Fedigan, Gouzoules, et al., 1986)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"152",152,"Macaca_fuscata","(Fedigan, Fedigan, Gouzoules, et al., 1986)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"153",153,"Macaca_fuscata","(Fedigan, Fedigan, Gouzoules, et al., 1986)","(Koyama et al. 2003)","(Baxter and Fedigan, 1979)"
"154",154,"Helogale_parvula","(Keane, Waser, Creel, et al., 1994)","(Creel, 2005)","(Creel and Waser, 1994)"
"155",155,"Helogale_parvula","(Keane, Waser, Creel, et al., 1994)","(Creel, 2005)","(Creel and Waser, 1994)"
"156",156,"Helogale_parvula","(Keane, Waser, Creel, et al., 1994)","(Creel, 2005)","(Creel and Waser, 1994)"
"157",157,"Marmota_caligata","(Wasser and Barash, 1983)","(Patil, Karels, and Hik, 2015)",NA
"158",158,"Marmota_caligata","(Wasser and Barash, 1983)","(Patil, Karels, and Hik, 2015)",NA
"159",159,"Marmota_caligata","(Wasser and Barash, 1983)","(Patil, Karels, and Hik, 2015)",NA
"160",160,"Marmota_caligata","(Wasser and Barash, 1983)","(Patil, Karels, and Hik, 2015)",NA
"161",161,"Macaca_radiata","(Silk, Clark-Wheatley, Rodman, et al., 1981)","(HOLEKAMP and SMALE, 1991)",NA
"162",162,"Macaca_radiata","(Silk, Clark-Wheatley, Rodman, et al., 1981)","(HOLEKAMP and SMALE, 1991)",NA
"163",163,"Macaca_radiata","(Silk, Clark-Wheatley, Rodman, et al., 1981)","(HOLEKAMP and SMALE, 1991)",NA
"164",164,"Marmota_flaviventris","(Huang, Wey, and Blumstein, 2011)","(Huang, Wey, and Blumstein, 2011)","(Armitage, Vuren, Ozgul, et al., 2011)"
"165",165,"Marmota_flaviventris","(Huang, Wey, and Blumstein, 2011)","(Huang, Wey, and Blumstein, 2011)","(Armitage, Vuren, Ozgul, et al., 2011)"
"166",166,"Marmota_flaviventris","(Huang, Wey, and Blumstein, 2011)","(Huang, Wey, and Blumstein, 2011)","(Armitage, Vuren, Ozgul, et al., 2011)"
"167",167,"Marmota_flaviventris","(Huang, Wey, and Blumstein, 2011)","(Huang, Wey, and Blumstein, 2011)","(Armitage, Vuren, Ozgul, et al., 2011)"
"168",168,"Alouatta_palliata","(Glander, 1980)","(Jones, 1980)",NA
"169",169,"Alouatta_palliata","(Glander, 1980)","(Jones, 1980)",NA
"170",170,"Equus_quagga","(Pluháček, š, and Čul\'\ik, 2006)","(Lloyd and Rasa, 1994)",NA
"171",171,"Equus_quagga","(Pluháček, š, and Čul\'\ik, 2006)","(Lloyd and Rasa, 1994)",NA
"172",172,"Equus_zebra","(Lloyd and Rasa, 1989)","(Lloyd and Rasa, 1994)",NA
"173",173,"Equus_zebra","(Lloyd and Rasa, 1989)","(Lloyd and Rasa, 1994)",NA
"174",174,"Equus_zebra","(Lloyd and Rasa, 1989)","(Lloyd and Rasa, 1994)",NA
"175",175,"Equus_zebra","(Lloyd and Rasa, 1989)","(Lloyd and Rasa, 1994)",NA
"176",176,"Equus_zebra","(Lloyd and Rasa, 1989)","(Lloyd and Rasa, 1994)",NA
"177",177,"Equus_caballus","(Rubenstein et al. 2009)","(Sinderbrand 2011)",NA
"178",178,"Equus_caballus","(Rubenstein et al. 2009)","(Sinderbrand 2011)",NA
"179",179,"Equus_caballus","(Rubenstein et al. 2009)",NA,NA
"180",180,"Mirounga_angustirostris","(Cheney et al. 1988)","(Christenson and Boeuf, 1978)",NA
"181",181,"Ovis_canadensis","(Hass, 1991)","(Festa-Bianchet, 1991)","(Fournier and Festa-Bianchet, 1995)"
"182",182,"Ovis_canadensis","(Hass, 1991)","(Festa-Bianchet, 1991)","(Fournier and Festa-Bianchet, 1995)"
"183",183,"Ovis_canadensis","(Hass, 1991)","(Festa-Bianchet, 1991)","(Fournier and Festa-Bianchet, 1995)"
"184",184,"Hyaena_brunnea","(OWENS and OWENS, 1996)","(OWENS and OWENS, 1996)","(Knowles, de
Groot, Wiesel, et al., 2009)"
"185",185,"Hyaena_brunnea","(OWENS and OWENS, 1996)","(OWENS and OWENS, 1996)","(Knowles, de
Groot, Wiesel, et al., 2009)"
"186",186,"Mus_musculus","(Rusu and Krackow, 2004)","(Rusu and Krackow, 2004)","(Rusu and Krackow, 2004)"
"187",187,"Mus_musculus","(König, 1994)","(Rusu and Krackow, 2004)","(König, 1994)"
"188",188,"Mus_musculus","(König, 1994)","(Rusu and Krackow, 2004)","(König, 1994)"
"189",189,"Mus_musculus","(König, 1994)","(Rusu and Krackow, 2004)","(König, 1994)"
"190",190,"Mus_musculus","(König, 1994)","(Rusu and Krackow, 2004)","(König, 1994)"
"191",191,"Rhabdomys_pumilio","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)"
"192",192,"Rhabdomys_pumilio","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)"
"193",193,"Rhabdomys_pumilio","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)"
"194",194,"Rhabdomys_pumilio","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)"
"195",195,"Rhabdomys_pumilio","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)"
"196",196,"Rhabdomys_pumilio","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)","(Kinahan and Pillay, 2007)"
"197",197,"Apodemus_sylvaticus","(Gerlach, 2002)","(Gerlach, 2002)","(Gerlach, 2002)"
