"","Identifier","Species","Reference effect size","Reference dominance system","Reference relatedness"
"272",272,"Crocuta_crocuta","(Frank et al. 1995)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"273",273,"Crocuta_crocuta","(Frank et al. 1995)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"274",274,"Ateles_paniscus","(Symington, 1987)","(van Roosmalen 1980)",NA
"275",275,"Crocuta_crocuta","(White, 2005)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"276",276,"Crocuta_crocuta","(White, 2005)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"277",277,"Crocuta_crocuta","(White, 2005)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"278",278,"Petrogale_concinna","(Nelson and Goldstone, 1986)","(Nelson and Goldstone, 1986)",NA
"279",279,"Macaca_assamensis","(Heesen, Rogahn, Ostner, et al., 2013)","(Fuertbauerr 2011)","(Moor, Roos, Ostner, et al., 2020)"
"280",280,"Papio_ursinus","(Busse 1982)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"281",281,"Macaca_fuscata","(Wolfe, 1984)","(Koyama et al. 2003)","(Koyama et al. 2003)"
"282",282,"Macaca_fuscata","(Wolfe, 1984)","(Koyama et al. 2003)","(Koyama et al. 2003)"
"283",283,"Macaca_fuscata","(Wolfe, 1984)","(Koyama et al. 2003)","(Koyama et al. 2003)"
"284",284,"Theropithecus_gelada","(le
Roux, Beehner, and Bergman, 2010)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"285",285,"Theropithecus_gelada","(le
Roux, Beehner, and Bergman, 2010)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"286",286,"Marmota_marmota","(King and é, 2002)","(Lardy, é, and Cohas, 2013)",NA
"287",287,"Marmota_marmota","(King and é, 2002)","(Lardy, é, and Cohas, 2013)",NA
"288",288,"Papio_cynocephalus","(Beehner, Onderdonk, Alberts, et al., 2006)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"289",289,"Papio_cynocephalus","(Beehner, Onderdonk, Alberts, et al., 2006)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"290",290,"Papio_cynocephalus",NA,"(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"291",291,"Papio_cynocephalus","(Altmann & Alberts 2003)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"292",292,"Papio_ursinus","(Baniel et al. 2021)","(HOLEKAMP and SMALE, 1991)","(Baniel, Cowlishaw, and Huchard, 2018)"
"293",293,"Vulpes_vulpes","(BAKER, ROBERTSON, FUNK, et al., 1998)","(BAKER, ROBERTSON, FUNK, and HARRIS, 1998)","(Iossa, Soulsbury, Baker, et al., 2008)"
"294",294,"Semnopithecus_entellus","(Dolhinow, McKenna, and Laws, 1979)","(Borries, Sommer, and Srivastava, 1991)",NA
"295",295,"Sapajus_apella","(DiBitetti et al. 2001)","(Welker, H&ouml$\mathsemicolon$hmann, and Sch&auml$\mathsemicolon$fer-Witt, 1990)",NA
"296",296,"Miopithecus_talapoin","(Abbott, 1987)","(Abbott, 1987)",NA
"297",297,"Mungos_mungo","(Nichols, Bell, Hodge, and Cant, 2012)","(de
Luca and Ginsberg, 2001)","(Nichols, Jordan, Jamie, et al., 2012)"
"298",298,"Mungos_mungo","(Nichols, Bell, Hodge, et al., 2012)","(de
Luca and Ginsberg, 2001)","(Nichols, Jordan, Jamie, et al., 2012)"
"299",299,"Mungos_mungo","(Nichols, Bell, Hodge, et al., 2012)","(de
Luca and Ginsberg, 2001)","(Nichols, Jordan, Jamie, et al., 2012)"
"300",300,"Mungos_mungo","(Nichols, Amos, Cant, Bell, and Hodge, 2010)","(de
Luca and Ginsberg, 2001)","(Nichols, Jordan, Jamie, et al., 2012)"
"301",301,"Mungos_mungo","(de
Luca and Ginsberg, 2001)","(de
Luca and Ginsberg, 2001)","(Nichols, Jordan, Jamie, et al., 2012)"
"302",302,"Canis_simensis","(Randall, Pollinger, Wayne, et al., 2007)","(HOLEKAMP and SMALE, 1991)","(Randall, Pollinger, Wayne, et al., 2007)"
"303",303,"Procavia_capensis","(Koren and Geffen, 2009)","(Visser, Robinson, and van
Vuuren, 2020)","(Visser 2013)"
"304",304,"Bison_bison","(Vervaecke, Roden, and de
Vries, 2005)","(Vervaecke, Roden, and de
Vries, 2005)",NA
"305",305,"Bison_bison","(Vervaecke, Roden, and de
Vries, 2005)","(Vervaecke, Roden, and de
Vries, 2005)",NA
"306",306,"Capra_pyrenaica","(Santiago-Moreno, Gómez-Brunet, Toledano-D\'\iaz, Pulido-Pastor, and López-Sebastián, 2007)","(Santiago et al. 2013)",NA
"307",307,"Sus_scrofa","(Meikle, Drickamer, Vessey, et al., 2010)","(Gaillard et al. 1993)","(Meikle, Drickamer, Vessey, et al., 2010)"
"308",308,"Papio_cynocephalus","(Altmann et al. 1988)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"309",309,"Macaca_sylvanus","(Paul & Kuester 1996)","(Paul and Kuester, 1987)","(Kümmerli and Martin, 2008)"
"310",310,"Macaca_sylvanus","(Paul & Kuester 1996)","(Paul and Kuester, 1987)","(Kümmerli and Martin, 2008)"
"311",311,"Macaca_sylvanus",NA,"(Paul and Kuester, 1987)","(Kümmerli and Martin, 2008)"
"312",312,"Papio_ursinus","(Baniel et al. 2021)","(HOLEKAMP and SMALE, 1991)","(Baniel, Cowlishaw, and Huchard, 2018)"
"313",313,"Papio_ursinus","(Baniel et al. 2021)","(HOLEKAMP and SMALE, 1991)","(Baniel, Cowlishaw, and Huchard, 2018)"
"314",314,"Papio_ursinus","(McFarland, Murphy, Lusseau, Henzi, Parker, Pollet, and Barrett, 2017)","(HOLEKAMP and SMALE, 1991)",NA
"315",315,"Papio_ursinus","(McFarland, Murphy, Lusseau, et al., 2017)","(HOLEKAMP and SMALE, 1991)",NA
"316",316,"Papio_cynocephalus","(Gesquiere, Altmann, Archie, and Alberts, 2018)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"317",317,"Lama_guanicoe","(Correa, Zapata, Samaniego, et al., 2013)","(Correa, Zapata, Samaniego, and Soto-Gamboa, 2013)",NA
"318",318,"Bos_taurus","(Hohenbrink and Meinecke-Tillmann, 2012)","(á, Špinka, á, Ceacero, á, and Kotrba, 2013)",NA
"319",319,"Capra_hircus","(Barroso, Alados, and Boza, 2000)","(Barroso, Alados, and Boza, 2000)",NA
"320",320,"Sus_scrofa","(Mendl, Zanella, Broom, and Whittemore, 1995)","(Cappa, Lombardini, and Meriggi, 2021)",NA
"321",321,"Bison_bison","(Green and Rothstein, 1991)","(Vervaecke, Roden, and de
Vries, 2005)",NA
"322",322,"Bison_bison","(Green and Rothstein, 1991)","(Vervaecke, Roden, and de
Vries, 2005)",NA
"323",323,"Antilocapra_americana","(Byers 1997)","(Dennehy, 2001)","(Carling, Wiseman, and Byers, 2003)"
"324",324,"Antilocapra_americana","(Byers 1997)","(Dennehy, 2001)","(Carling, Wiseman, and Byers, 2003)"
"325",325,"Antilocapra_americana","(Byers 1997)","(Dennehy, 2001)","(Carling, Wiseman, and Byers, 2003)"
"326",326,"Antilocapra_americana","(Byers 1997)","(Dennehy, 2001)","(Carling, Wiseman, and Byers, 2003)"
"327",327,"Suricata_suricatta","(MacLeod and Clutton-Brock, 2013)","(Russell, Carlson, McIlrath, et al., 2004)","(Griffin, 2003)"
"328",328,"Suricata_suricatta","(MacLeod and Clutton-Brock, 2013)","(Russell, Carlson, McIlrath, et al., 2004)","(Griffin, 2003)"
"329",329,"Mesocricetus_auratus","(Pratt and Lisk, 1989)","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)"
"330",330,"Mesocricetus_auratus","(Pratt and Lisk, 1989)","(Huck, Lisk, and McKay, 1988)","(Huck, Lisk, and McKay, 1988)"
"331",331,"Gorilla_beringei","(Robbins, Stoinski, Fawcett, and Robbins, 2011)","(Robbins, Gerald-Steklis, Robbins, et al., 2005)","(Watts, 1994)"
"332",332,"Gorilla_beringei","(Robbins, Stoinski, Fawcett, et al., 2011)","(Robbins, Gerald-Steklis, Robbins, et al., 2005)","(Watts, 1994)"
"333",333,"Gorilla_beringei","(Robbins, Stoinski, Fawcett, et al., 2011)","(Robbins, Gerald-Steklis, Robbins, et al., 2005)","(Watts, 1994)"
"334",334,"Papio_anubis","(Smuts and Nicolson, 1989)","(Johnson, 1987)",NA
"335",335,"Papio_anubis","(Smuts and Nicolson, 1989)","(Johnson, 1987)",NA
"336",336,"Papio_anubis","(Smuts and Nicolson, 1989)","(Johnson, 1987)",NA
"337",337,"Macaca_mulatta","(Small and Hrdy, 1986)","(Deutsch and Lee, 1991)",NA
"338",338,"Cercopithecus_mitis","(Roberts and Cords, 2013)","(Klass and Cords, 2015)",NA
"339",339,"Suricata_suricatta","(Macdonald and Doolan, 1997)","(Russell, Carlson, McIlrath, et al., 2004)",NA
"340",340,"Microtus_arvalis","(Dobly, 2008)","(Dobly, 2008)","(Dobly, 2008)"
"341",341,"Microtus_ochrogaster","(Wolff, Dunlap, and Ritchhart, 2001)","(Wolff, Dunlap, and Ritchhart, 2001)","(Wolff, Dunlap, and Ritchhart, 2001)"
"342",342,"Microtus_pinetorum","(Wolff, Dunlap, and Ritchhart, 2001)","(Wolff, Dunlap, and Ritchhart, 2001)","(Wolff, Dunlap, and Ritchhart, 2001)"
"343",343,"Macaca_mulatta","(Meikle, Tilford, and Vessey, 1984)","(Deutsch and Lee, 1991)",NA
"344",344,"Macaca_sylvanus","(Paul and Thommen, 1984)","(Paul and Kuester, 1987)",NA
"345",345,"Macaca_sylvanus","(Paul and Thommen, 1984)","(Paul and Kuester, 1987)",NA
"346",346,"Macaca_sylvanus","(Paul and Thommen, 1984)","(Paul and Kuester, 1987)",NA
"347",347,"Equus_quagga","(Schilder and Boer, 1987)","(Lloyd and Rasa, 1994)",NA
"348",348,"Equus_quagga","(Schilder and Boer, 1987)","(Lloyd and Rasa, 1994)",NA
"349",349,"Macaca_mulatta","(Berman, 1988)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"350",350,"Macaca_arctoides","(Rhine, 1994)","(HOLEKAMP and SMALE, 1991)",NA
"351",351,"Papio_cynocephalus","(Rhine, Norton, Rogers, and Wasser, 1992)","(Packer, Collins, Sindimwo, et al., 1995)","(Wasser and Starling, 1988)"
"352",352,"Canis_latrans","(Gese 2004)","(Gese 2004)",NA
"353",353,"Canis_latrans","(Gese 2004)","(Gese 2004)",NA
"354",354,"Macaca_mulatta","(Brent, Ruiz-Lambides, and Platt, 2017)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"355",355,"Suricata_suricatta","(Cram, Monaghan, Gillespie, Dantzer, Duncan, Spence-Jones, and Clutton-Brock, 2018)","(Russell, Carlson, McIlrath, et al., 2004)","(Griffin, 2003)"
"356",356,"Fukomys_mechowi","(Dammann, Šumbera, Maßmann, et al., 2011)","(Wallace and Bennett, 1998)","(Dammann, Šumbera, Maßmann, et al., 2011)"
"357",357,"Papio_ursinus","(Silk, Beehner, Bergman, Crockford, Engh, Moscovice, Wittig, Seyfarth, and Cheney, 2010)","(HOLEKAMP and SMALE, 1991)","(Silk, Cheney, and Seyfarth, 1999)"
"358",358,"Papio_cynocephalus","(Archie, Tung, Clark, Altmann, and Alberts, 2014)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"359",359,"Crocuta_crocuta","(Watts, Tanner, Lundrigan, and Holekamp, 2009)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
